Test #78 (Nodes: 10000, Elements: 10000): Tree Creation - 1102417 ns, DFS - 8417 ns, BFS - 81291 ns, List Creation - 285500 ns
Test #79 (Nodes: 10000, Elements: 10000): Tree Creation - 1249417 ns, DFS - 8375 ns, BFS - 81292 ns, List Creation - 291917 ns
Test #80 (Nodes: 10000, Elements: 10000): Tree Creation - 1073667 ns, DFS - 8416 ns, BFS - 86250 ns, List Creation - 287958 ns
Test #81 (Nodes: 10000, Elements: 10000): Tree Creation - 1090833 ns, DFS - 8916 ns, BFS - 90083 ns, List Creation - 296000 ns
Test #82 (Nodes: 10000, Elements: 10000): Tree Creation - 1042542 ns, DFS - 8625 ns, BFS - 81500 ns, List Creation - 291417 ns
Test #83 (Nodes: 10000, Elements: 10000): Tree Creation - 1053666 ns, DFS - 8292 ns, BFS - 81250 ns, List Creation - 290459 ns
Test #84 (Nodes: 10000, Elements: 10000): Tree Creation - 1019875 ns, DFS - 8542 ns, BFS - 81208 ns, List Creation - 293333 ns
Test #85 (Nodes: 10000, Elements: 10000): Tree Creation - 1036500 ns, DFS - 8417 ns, BFS - 94125 ns, List Creation - 285291 ns
Test #86 (Nodes: 10000, Elements: 10000): Tree Creation - 1054167 ns, DFS - 12459 ns, BFS - 81167 ns, List Creation - 285625 ns
Test #87 (Nodes: 10000, Elements: 10000): Tree Creation - 1071875 ns, DFS - 8458 ns, BFS - 81333 ns, List Creation - 287291 ns
Test #88 (Nodes: 10000, Elements: 10000): Tree Creation - 1176834 ns, DFS - 8541 ns, BFS - 90875 ns, List Creation - 296417 ns
Test #89 (Nodes: 10000, Elements: 10000): Tree Creation - 1062542 ns, DFS - 8458 ns, BFS - 81250 ns, List Creation - 291792 ns
Test #90 (Nodes: 10000, Elements: 10000): Tree Creation - 1055917 ns, DFS - 8542 ns, BFS - 81333 ns, List Creation - 316375 ns
Test #91 (Nodes: 10000, Elements: 10000): Tree Creation - 1052083 ns, DFS - 8375 ns, BFS - 81208 ns, List Creation - 285625 ns
Test #92 (Nodes: 10000, Elements: 10000): Tree Creation - 1131833 ns, DFS - 8292 ns, BFS - 81334 ns, List Creation - 291792 ns
Test #93 (Nodes: 10000, Elements: 10000): Tree Creation - 1053250 ns, DFS - 8584 ns, BFS - 81459 ns, List Creation - 287709 ns
Test #94 (Nodes: 10000, Elements: 10000): Tree Creation - 1052292 ns, DFS - 8292 ns, BFS - 81291 ns, List Creation - 294333 ns
Test #95 (Nodes: 10000, Elements: 10000): Tree Creation - 1061916 ns, DFS - 8417 ns, BFS - 81250 ns, List Creation - 285625 ns
Test #96 (Nodes: 10000, Elements: 10000): Tree Creation - 1072292 ns, DFS - 8458 ns, BFS - 81167 ns, List Creation - 295416 ns
Test #97 (Nodes: 10000, Elements: 10000): Tree Creation - 1062084 ns, DFS - 8292 ns, BFS - 81083 ns, List Creation - 327500 ns
Test #98 (Nodes: 10000, Elements: 10000): Tree Creation - 1049917 ns, DFS - 8041 ns, BFS - 90542 ns, List Creation - 291417 ns
Test #99 (Nodes: 10000, Elements: 10000): Tree Creation - 1079917 ns, DFS - 8375 ns, BFS - 81333 ns, List Creation - 287375 ns
Test #100 (Nodes: 10000, Elements: 10000): Tree Creation - 1082791 ns, DFS - 8042 ns, BFS - 81084 ns, List Creation - 282917 ns
Test #101 (Nodes: 10000, Elements: 10000): Tree Creation - 1058542 ns, DFS - 8500 ns, BFS - 81333 ns, List Creation - 291625 ns
Test #102 (Nodes: 10000, Elements: 10000): Tree Creation - 1045292 ns, DFS - 8708 ns, BFS - 81291 ns, List Creation - 287209 ns
Test #103 (Nodes: 10000, Elements: 10000): Tree Creation - 1063166 ns, DFS - 8500 ns, BFS - 81416 ns, List Creation - 284959 ns
Test #104 (Nodes: 10000, Elements: 10000): Tree Creation - 1060833 ns, DFS - 8375 ns, BFS - 81208 ns, List Creation - 290167 ns
Test #105 (Nodes: 10000, Elements: 10000): Tree Creation - 1044583 ns, DFS - 8458 ns, BFS - 81333 ns, List Creation - 309792 ns
Test #106 (Nodes: 10000, Elements: 10000): Tree Creation - 1068833 ns, DFS - 8166 ns, BFS - 81083 ns, List Creation - 291708 ns
Test #107 (Nodes: 10000, Elements: 10000): Tree Creation - 1075708 ns, DFS - 8333 ns, BFS - 85833 ns, List Creation - 300875 ns
Test #108 (Nodes: 10000, Elements: 10000): Tree Creation - 1097042 ns, DFS - 8417 ns, BFS - 81209 ns, List Creation - 294458 ns
Test #109 (Nodes: 10000, Elements: 10000): Tree Creation - 1039667 ns, DFS - 8250 ns, BFS - 81167 ns, List Creation - 306458 ns
